
TEMPS_NIVEAU= 120
TEMPS_MUR= 50
VITESSE_SLIM= 1
NOMBRE_DIAMANT= 20
LONGUEURX= 34
LONGUEURY= 21

##################################
#0000000000P0000000000000000000M3#
#F00000000000000000000000000000M3#
#00B000000000000000000000000000M3#
#000000000000000000000000000000M3#
#000000000000000000000000000000M3#
#000000000000000000000000000000M3#
#000000000000000000000000000000M3#
#000000000000000000000000000000M3#
#000000000000000000000000000000M3#
#000000000000000000000000000000M3#
#000000000000000000000000000000M3#
#000000000000000000000000000000M3#
#000000--------0000000000000000M3#
#000000        000000000000000PM3#
#000000        0000000000000000M3#
#000000        000000000000000PM3#
#000000        0000000000000000M3#
#000000        00000  000000000M3#
#000000        00000 1000000000M3#
##################################
